k;d;avg;% of mispr
1;0;39.216207;0.002
1;1;42.23944;0.0013
1;2;43.117176;0.001025
1;3;46.82817;0.0008
1;4;46.807148;0.000767
1;5;43.63564;0.0019
1;6;50.835229;0.000625
1;7;52.355511;0.000633
1;8;51.567261;0.0006
1;9;54.763373;0.0005
1;10;54.891252;0.000483
2;0;40.341644;0.002
2;1;39.311907;0.0012
2;2;43.226321;0.0011
2;3;45.584041;0.00082
2;4;46.318046;0.000783
2;5;49.041461;0.000629
2;6;51.899099;0.000725
2;7;53.124957;0.000567
2;8;53.167738;0.00051
2;9;54.954122;0.000473
2;10;55.413549;0.00045
3;0;40.278627;0.0024
3;1;41.565621;0.0015
3;2;36.259711;0.001775
3;3;43.63634;0.00122
3;4;46.514109;0.000917
3;5;48.710679;0.001014
3;6;51.080127;0.000912
3;7;52.697401;0.000667
3;8;52.6003;0.00059
3;9;54.490615;0.000782
3;10;57.731544;0.226176
4;0;40.24715;0.00285
4;1;41.465401;0.001733
4;2;42.226383;0.001525
4;3;42.057872;0.00136
4;4;45.49398;0.001533
4;5;46.877372;0.000943
4;6;50.049647;0.001687
4;7;51.939291;0.000811
4;8;66.013852;2.394064
4;9;81.799636;3.759839
4;10;83.980511;3.36698
5;0;39.964544;0.00295
5;1;41.084885;0.001833
5;2;42.196779;0.001425
5;3;43.307466;0.0015
5;4;43.632775;0.001033
5;5;60.463531;2.867948
5;6;59.237745;2.201214
5;7;62.201521;2.181187
5;8;60.707552;1.696311
5;9;72.524858;2.855232
5;10;77.931081;2.785282
6;0;39.868608;0.00485
6;1;41.44594;0.0044
6;2;49.778549;3.825317
6;3;52.01096;2.9428
6;4;55.431505;2.484809
6;5;56.19052;2.084152
6;6;54.837546;1.822904
6;7;57.825174;1.617643
6;8;59.041424;1.471412
6;9;69.779704;2.425051
6;10;71.022412;2.176688
7;0;39.820074;0.0031
7;1;41.518297;0.002067
7;2;48.662316;3.226826
7;3;49.958035;2.565102
7;4;40.273572;2.129712
7;5;54.928806;1.819238
7;6;56.594818;1.587914
7;7;56.325758;1.429678
7;8;55.973093;1.295523
7;9;68.957398;2.214634
7;10;69.780178;1.957759
8;0;39.894846;0.0045
8;1;41.017542;0.002333
8;2;47.421271;2.859287
8;3;37.374819;2.274373
8;4;51.528128;1.887693
8;5;53.469443;1.613603
8;6;55.007302;1.414024
8;7;56.353634;1.259419
8;8;57.931199;1.13715
8;9;66.076277;1.959343
8;10;68.003276;1.854871
9;0;39.868242;0.0027
9;1;47.568982;4.420796
9;2;47.087418;2.565319
9;3;48.318477;2.041769
9;4;50.060912;1.696481
9;5;52.879888;1.450159
9;6;52.730172;1.266534
9;7;54.868522;1.137652
9;8;56.881498;1.021001
9;9;64.55075;1.848232
9;10;60.265592;1.623818
10;0;45.947303;6.910968
10;1;45.165253;3.126366
10;2;46.37728;2.326928
10;3;47.542883;1.852918
10;4;43.172368;1.539863
10;5;52.01313;1.316705
10;6;53.910222;1.150316
10;7;54.27239;1.024259
10;8;56.583414;0.91854
10;9;65.243274;1.617616
10;10;67.198743;1.550723
11;0;40.190249;0.00285
11;1;45.078593;2.858771
11;2;45.02935;2.1296
11;3;40.395036;1.695852
11;4;49.689671;1.409337
11;5;44.68482;1.205748
11;6;52.818324;1.056428
11;7;53.876122;0.944401
11;8;56.075699;0.841396
