k;d;avg;% of mispr
1;0;30.974312;0.00085
1;1;32.59472;0.0006
1;2;32.512314;0.000475
1;3;32.49318;0.00036
1;4;34.10675;0.000367
1;5;35.874666;0.000329
1;6;37.175868;0.000325
1;7;37.750414;0.000256
1;8;38.574362;0.00025
1;9;45.773776;0.000264
1;10;42.954062;0.000258
2;0;30.957192;0.00075
2;1;31.786248;0.0005
2;2;32.5009;0.000525
2;3;31.955234;0.00056
2;4;33.61954;0.000317
2;5;36.03836;0.000286
2;6;37.245462;0.0003
2;7;38.3274;0.000444
2;8;38.56309;0.00028
2;9;45.007312;0.000264
2;10;42.711594;0.000267
3;0;30.923458;0.0015
3;1;32.316712;0.000833
3;2;32.437218;0.000975
3;3;32.302282;0.00084
3;4;34.29631;0.000483
3;5;36.271798;0.000671
3;6;36.403076;0.000537
3;7;38.317788;0.000467
3;8;40.21691;0.00046
3;9;44.213742;0.000482
3;10;39.6156;0.000425
4;0;30.443468;0.0026
4;1;32.278354;0.001267
4;2;32.47677;0.001075
4;3;32.866002;0.0008
4;4;34.42893;0.00085
4;5;36.19688;0.000671
4;6;36.442942;0.000962
4;7;37.763932;0.000533
4;8;40.937564;0.00047
4;9;44.494968;0.000609
4;10;39.715224;0.000433
5;0;30.427226;0.00355
5;1;32.180806;0.001367
5;2;32.330882;0.001175
5;3;32.432174;0.00102
5;4;34.411658;0.000617
5;5;36.14354;0.000643
5;6;36.01991;0.000625
5;7;38.000146;0.000567
5;8;40.707126;0.00195
5;9;44.176164;0.000682
5;10;39.090558;0.000625
6;0;31.020232;0.01875
6;1;31.798544;0.0015
6;2;31.975016;0.001075
6;3;32.428096;0.00084
6;4;33.923366;0.000533
6;5;35.982066;0.000786
6;6;35.467334;0.001387
6;7;37.953598;0.0007
6;8;40.411984;0.0005
6;9;43.941102;0.000518
6;10;38.647658;0.0004
7;0;30.643082;0.0034
7;1;32.172884;0.001867
7;2;32.331566;0.001
7;3;32.343266;0.00096
7;4;34.479068;0.000867
7;5;35.588858;0.001014
7;6;35.690428;0.00055
7;7;37.930642;0.000711
7;8;40.83928;0.00055
7;9;43.747366;0.000527
7;10;38.2084;0.000767
8;0;30.501934;0.00305
8;1;31.586206;0.001833
8;2;32.375324;0.00125
8;3;32.495442;0.00162
8;4;34.530022;0.000733
8;5;35.865954;0.000914
8;6;42.765896;1.566055
8;7;37.296216;0.001578
8;8;40.320416;0.00053
8;9;43.66735;0.000545
8;10;38.139954;0.000425
9;0;30.239308;0.00255
9;1;31.3161;0.001133
9;2;32.419836;0.0235
9;3;32.403612;0.00098
9;4;34.48452;0.000817
9;5;35.582318;0.000757
9;6;41.842372;1.389456
9;7;37.71155;0.001711
9;8;39.898332;0.00058
9;9;43.69353;0.0005
9;10;38.540804;0.000392
10;0;30.239194;0.0022
10;1;31.375172;0.001233
10;2;32.25756;0.001825
10;3;31.898236;0.00164
10;4;33.96865;0.000983
10;5;35.495138;0.0012
10;6;41.436496;1.250556
10;7;42.360416;1.128806
10;8;40.056982;0.00094
10;9;42.643844;0.000509
10;10;44.073228;0.841864
11;0;30.394742;0.0024
11;1;32.061106;0.001267
11;2;36.255072;2.273552
11;3;32.426586;0.00096
11;4;34.01305;0.000833
11;5;35.802862;0.001186
11;6;40.443738;1.136907
11;7;37.324006;0.000456
11;8;40.212912;0.00054
11;9;45.359818;0.827924
11;10;43.704438;0.757922
12;0;30.586346;0.0021
12;1;31.6306;0.002633
12;2;31.806176;0.001475
12;3;32.493278;0.00132
12;4;38.678152;1.398341
12;5;39.726234;1.194307
12;6;35.513554;0.0006
12;7;37.729162;0.000622
12;8;43.754794;0.836027
12;9;45.12264;0.757925
12;10;43.28156;0.694773
13;0;30.770798;0.0022
13;1;31.162588;0.002633
13;2;31.899882;0.001225
13;3;32.463788;0.00088
13;4;38.346072;1.284291
13;5;39.745698;1.101137
13;6;35.538526;0.000562
13;7;41.43931;0.870174
13;8;44.174138;0.769887
13;9;44.768628;0.699861
13;10;42.838554;0.641348
14;0;30.339486;0.00205
14;1;34.46424;2.388568
14;2;31.845732;0.004025
14;3;31.997908;0.00104
14;4;37.722272;1.200292
14;5;34.88475;0.000686
14;6;39.558058;0.893996
14;7;41.397372;0.794163
14;8;43.256304;0.714767
14;9;44.70789;0.649679
14;10;42.474846;0.59554
15;0;30.37656;0.00255
15;1;30.867778;0.0016
15;2;32.31103;0.001175
15;3;32.454216;0.00096
15;4;37.949168;1.119493
15;5;35.10939;0.000657
15;6;39.16984;0.833896
15;7;41.032836;0.741086
15;8;42.912762;0.666997
15;9;44.660246;0.606434
15;10;42.042046;0.555906
16;0;30.161502;0.00435
16;1;31.55699;0.001767
16;2;32.343902;0.0013
16;3;32.50896;0.00116
16;4;34.532044;0.00065
16;5;38.952526;0.895781
16;6;38.27651;0.781734
16;7;41.056418;0.694808
16;8;42.15717;0.625307
16;9;44.578866;0.568562
16;10;42.25529;0.521148
17;0;30.766236;0.003
17;1;32.048492;0.001567
17;2;32.351058;0.001
17;3;31.9718;0.00082
17;4;34.696332;0.000617
17;5;39.133574;0.840838
17;6;38.916214;0.735846
17;7;40.672008;0.653953
17;8;43.188968;0.588678
17;9;44.126764;0.53528
17;10;41.259474;0.49054
18;0;30.499806;0.00295
18;1;31.342396;0.001467
18;2;31.925484;0.022975
18;3;32.473632;0.00096
18;4;36.54915;0.93156
18;5;38.792842;0.794195
18;6;38.333602;0.695009
18;7;39.947872;0.617708
18;8;42.620596;0.555978
18;9;43.076716;0.505416
18;10;40.943796;0.463365
19;0;30.213172;0.00345
19;1;31.495246;0.001233
19;2;31.99633;0.0229
19;3;32.519274;0.00076
19;4;37.166806;0.877761
19;5;38.39514;0.752353
19;6;38.491738;0.658309
19;7;40.00035;0.585231
19;8;42.033946;0.526788
19;9;44.085512;0.478835
19;10;41.050142;0.438907
20;0;30.676698;0.00255
20;1;30.9141;0.0014
20;2;32.299512;0.000975
20;3;32.096132;0.00096
20;4;36.811322;0.833811
20;5;38.272604;0.714896
20;6;38.340792;0.625522
20;7;40.11609;0.556109
20;8;42.824432;0.500588
20;9;44.341268;0.454862
20;10;40.71647;0.416974
21;0;33.410838;2.382452
21;1;32.06647;0.0017
21;2;32.370462;0.00945
21;3;34.600184;0.955692
21;4;37.106384;0.794411
21;5;38.24589;0.680825
21;6;37.21159;0.59571
21;7;40.436528;0.529564
21;8;41.620774;0.476708
21;9;44.02187;0.433217
21;10;41.031356;0.397124
22;0;33.231768;2.273905
22;1;31.184796;0.002133
22;2;31.727724;0.001475
22;3;34.228434;0.909773
22;4;36.77955;0.758178
22;5;37.641404;0.649896
22;6;37.667082;0.568622
22;7;39.544178;0.505498
22;8;41.944822;0.454968
22;9;43.534436;0.413517
22;10;40.176046;0.379074
23;0;33.288898;2.362103
23;1;31.58102;0.001433
23;2;32.315586;0.00115
23;3;34.86233;0.870133
23;4;36.040068;0.725145
23;5;37.037204;0.621696
23;6;37.551322;0.543922
23;7;39.97279;0.483476
23;8;41.492774;0.435188
23;9;44.097814;0.395617
23;10;40.775668;0.362699
24;0;30.207366;0.0022
24;1;31.194198;0.0021
24;2;32.125822;0.001025
24;3;34.27677;0.834113
24;4;36.528526;0.694995
24;5;37.274622;0.595868
24;6;37.672764;0.521285
24;7;39.920198;0.463376
24;8;41.648198;0.417048
24;9;43.348892;0.379099
24;10;41.139348;0.347582
25;0;30.556572;0.0022
25;1;31.155286;0.002
